frame,time,x_position,y_position
1206723,12.0,22.5771325234936,13.7299986686061
1206722,12.0402010050251,22.780341170774,12.7508632103213
1206721,12.0804020100503,23.1457037882066,11.8199979366201
1206720,12.1206030150754,22.6282819519197,12.6757284101534
1206719,12.1608040201005,22.4111265540879,13.6518654564704
1206718,12.2010050251256,21.8733004076482,14.4949212293621
1206717,12.2412060301508,21.15913204206,15.1948951900156
1206716,12.2814070351759,20.51445882973,15.959353461803
1206714,12.3618090452261,19.7711970921469,17.8155790047968
1206710,12.5226130653266,18.814023265322,21.6770798893795
1206709,12.5628140703518,18.6333362694431,22.6606205390327
1206708,12.6030150753769,18.8733963695368,23.6313785667322
1206707,12.643216080402,19.1562478785664,24.5905422773884
1206706,12.6834170854271,19.5457575099056,23.6695198851014
1206705,12.7236180904523,20.2458529410895,22.9554705960216
1206704,12.7638190954774,20.7655658590503,22.1011296319418
1206702,12.8442211055276,21.498664006753,20.2403347538998
1206701,12.8844221105528,21.7638168946963,19.2761283724568
1206700,12.9246231155779,21.9110037660717,18.2870196701926
1206699,12.964824120603,22.0819844761761,17.3017452938019
1206697,13.0452261306533,22.0794279685735,15.3134553766515
1206696,13.0854271356784,22.305601593386,14.3393683726118
1206695,13.1256281407035,22.1153432116199,13.3576343209625
1206694,13.1658291457286,21.9123537574705,12.3784533971776
1206692,13.2462311557789,21.7868128280544,10.3852423841471
1206691,13.286432160804,21.8835465732762,9.38993208954779
1206689,13.3668341708543,22.6057306389032,7.52587918739076
1206688,13.4070351758794,22.8172220847008,6.54849933883932
1206687,13.4472361809045,23.2816345226757,5.66288029689508
1206686,13.4874371859296,23.0605245996634,4.68763140458834
1206685,13.5276381909548,23.0067915359566,3.6890760691839
1206683,13.608040201005,22.7640472225535,1.70398033217379
1206682,13.6482412060301,22.7734265327197,0.704024318870801
1206680,13.7286432160804,22.8282089288221,-1.27821872118376
1206679,13.7688442211055,22.8186960747266,-2.27817347296354
1206678,13.8090452261307,22.8556120041911,-3.27749184773294
1206677,13.8492462311558,22.7891632324969,-4.27528168569499
1206676,13.8894472361809,23.0695457709419,-5.23517002927204
1206674,13.9698492462312,22.1008825242132,-6.96177411652427
1206672,14.0502512562814,20.2462769853871,-7.70977483000349
1206671,14.0904522613065,19.2617449434593,-7.88497944871411
1206670,14.1306532663317,18.2884069966677,-8.11435521320423
1206669,14.1708542713568,17.3631987340122,-8.49381492215108
1206668,14.2110552763819,16.3800919509204,-8.67684785098845
1206667,14.251256281407,15.4750195468673,-9.10210535347551
1206666,14.2914572864322,14.7570748698174,-9.79820551918141
1206665,14.3316582914573,13.810614702731,-10.1210261382855
1206664,14.3718592964824,12.8107279712685,-10.1360768607039
1206663,14.4120603015075,11.8171730998946,-10.2494290444907
1206662,14.4522613065327,10.8888453056727,-10.6211917463249
1206661,14.4924623115578,9.90361826964458,-10.7924450309042
1206660,14.5326633165829,8.90465024044251,-10.7470261291987
1206659,14.572864321608,7.94998230484291,-11.0446989911428
1206657,14.6532663316583,6.2763869542795,-12.1389483104303
1206656,14.6934673366834,5.4377872756707,-12.6836964899015
1206655,14.7336683417085,4.58609057649006,-13.2077315389248
1206652,14.8542713567839,2.03587644672696,-14.7849981562616
