games,wr_1,wr_2
185,0.740540540540541,0.664864864864865
179,0.58659217877095,0.620111731843575
127,0.259842519685039,0.299212598425197
2,1.0,0.5
195,0.517948717948718,0.492307692307692
89,0.550561797752809,0.550561797752809
196,0.23469387755102,0.229591836734694
80,0.475,0.525
46,0.608695652173913,0.434782608695652
118,0.398305084745763,0.389830508474576
116,0.413793103448276,0.456896551724138
121,0.59504132231405,0.495867768595041
47,0.531914893617021,0.446808510638298
102,0.754901960784314,0.686274509803922
182,0.615384615384615,0.725274725274725
10,0.5,0.4
59,0.355932203389831,0.474576271186441
119,0.722689075630252,0.747899159663866
101,0.455445544554455,0.445544554455446
159,0.572327044025157,0.515723270440252
33,0.545454545454545,0.666666666666667
169,0.449704142011834,0.520710059171598
101,0.683168316831683,0.594059405940594
3,0.0,0.0
69,0.652173913043478,0.492753623188406
105,0.571428571428571,0.533333333333333
140,0.65,0.628571428571429
77,0.571428571428571,0.519480519480519
51,0.431372549019608,0.156862745098039
132,0.484848484848485,0.53030303030303
172,0.534883720930233,0.5
80,0.6125,0.6375
136,0.661764705882353,0.610294117647059
198,0.46969696969697,0.555555555555556
186,0.650537634408602,0.688172043010753
148,0.601351351351351,0.540540540540541
59,0.423728813559322,0.423728813559322
142,0.309859154929577,0.267605633802817
3,0.333333333333333,0.0
139,0.410071942446043,0.431654676258993
60,0.7,0.683333333333333
135,0.207407407407407,0.266666666666667
87,0.64367816091954,0.632183908045977
113,0.292035398230089,0.230088495575221
117,0.606837606837607,0.572649572649573
122,0.549180327868853,0.450819672131148
89,0.528089887640449,0.629213483146067
119,0.478991596638655,0.420168067226891
63,0.714285714285714,0.746031746031746
36,0.722222222222222,0.75
168,0.470238095238095,0.398809523809524
57,0.403508771929825,0.350877192982456
171,0.701754385964912,0.637426900584795
39,0.538461538461538,0.58974358974359
81,0.654320987654321,0.604938271604938
192,0.53125,0.583333333333333
43,0.186046511627907,0.325581395348837
107,0.532710280373832,0.504672897196262
103,0.475728155339806,0.407766990291262
97,0.54639175257732,0.371134020618557
193,0.585492227979275,0.585492227979275
123,0.471544715447154,0.560975609756098
113,0.460176991150442,0.407079646017699
11,0.272727272727273,0.363636363636364
51,0.686274509803922,0.686274509803922
147,0.435374149659864,0.435374149659864
114,0.447368421052632,0.482456140350877
18,0.5,0.388888888888889
83,0.578313253012048,0.674698795180723
176,0.505681818181818,0.551136363636364
198,0.515151515151515,0.560606060606061
108,0.462962962962963,0.490740740740741
77,0.623376623376623,0.649350649350649
81,0.419753086419753,0.469135802469136
147,0.448979591836735,0.387755102040816
191,0.371727748691099,0.350785340314136
14,0.571428571428571,0.285714285714286
200,0.35,0.335
170,0.641176470588235,0.617647058823529
55,0.672727272727273,0.581818181818182
95,0.768421052631579,0.768421052631579
37,0.297297297297297,0.486486486486487
178,0.674157303370786,0.679775280898876
150,0.546666666666667,0.6
114,0.526315789473684,0.56140350877193
43,0.604651162790698,0.604651162790698
89,0.561797752808989,0.539325842696629
179,0.547486033519553,0.480446927374302
119,0.613445378151261,0.563025210084034
82,0.585365853658537,0.560975609756098
46,0.652173913043478,0.630434782608696
72,0.513888888888889,0.416666666666667
19,0.578947368421053,0.578947368421053
83,0.481927710843373,0.55421686746988
174,0.471264367816092,0.511494252873563
173,0.375722543352601,0.375722543352601
172,0.540697674418605,0.558139534883721
197,0.401015228426396,0.446700507614213
7,0.714285714285714,0.714285714285714
100,0.46,0.35
6,0.833333333333333,0.833333333333333
70,0.485714285714286,0.471428571428571
62,0.596774193548387,0.645161290322581
39,0.512820512820513,0.538461538461538
105,0.533333333333333,0.476190476190476
15,0.533333333333333,0.666666666666667
134,0.522388059701492,0.440298507462687
88,0.431818181818182,0.397727272727273
152,0.572368421052632,0.638157894736842
178,0.48876404494382,0.556179775280899
28,0.714285714285714,0.357142857142857
194,0.283505154639175,0.319587628865979
116,0.370689655172414,0.301724137931034
186,0.473118279569892,0.483870967741935
47,0.340425531914894,0.468085106382979
138,0.318840579710145,0.369565217391304
59,0.406779661016949,0.372881355932203
25,0.56,0.44
106,0.80188679245283,0.830188679245283
17,0.705882352941177,0.529411764705882
121,0.479338842975207,0.421487603305785
150,0.506666666666667,0.506666666666667
127,0.338582677165354,0.275590551181102
35,0.314285714285714,0.428571428571429
132,0.409090909090909,0.303030303030303
180,0.305555555555556,0.338888888888889
73,0.287671232876712,0.342465753424658
162,0.574074074074074,0.537037037037037
38,0.421052631578947,0.552631578947368
186,0.526881720430108,0.505376344086022
43,0.465116279069767,0.395348837209302
191,0.445026178010471,0.481675392670157
66,0.53030303030303,0.515151515151515
2,1.0,0.5
37,0.540540540540541,0.432432432432432
119,0.403361344537815,0.428571428571429
143,0.300699300699301,0.27972027972028
174,0.367816091954023,0.32183908045977
11,0.636363636363636,0.454545454545455
86,0.697674418604651,0.581395348837209
95,0.4,0.294736842105263
37,0.432432432432432,0.459459459459459
16,0.4375,0.3125
101,0.356435643564356,0.425742574257426
153,0.496732026143791,0.470588235294118
68,0.617647058823529,0.441176470588235
48,0.770833333333333,0.6875
102,0.588235294117647,0.637254901960784
70,0.514285714285714,0.485714285714286
176,0.329545454545455,0.340909090909091
172,0.686046511627907,0.726744186046512
40,0.375,0.35
104,0.413461538461538,0.471153846153846
56,0.464285714285714,0.517857142857143
190,0.5,0.431578947368421
188,0.617021276595745,0.648936170212766
29,0.344827586206897,0.103448275862069
12,0.666666666666667,0.916666666666667
15,0.4,0.533333333333333
133,0.691729323308271,0.654135338345865
30,0.7,0.566666666666667
44,0.431818181818182,0.431818181818182
89,0.573033707865168,0.584269662921348
78,0.653846153846154,0.82051282051282
150,0.433333333333333,0.446666666666667
92,0.5,0.66304347826087
192,0.505208333333333,0.578125
96,0.583333333333333,0.59375
68,0.588235294117647,0.573529411764706
70,0.6,0.6
158,0.569620253164557,0.582278481012658
38,0.631578947368421,0.605263157894737
148,0.445945945945946,0.574324324324324
5,0.4,0.6
10,0.4,0.4
195,0.276923076923077,0.307692307692308
139,0.510791366906475,0.503597122302158
171,0.43859649122807,0.485380116959064
15,0.533333333333333,0.733333333333333
113,0.292035398230089,0.327433628318584
80,0.7375,0.625
130,0.492307692307692,0.430769230769231
111,0.486486486486487,0.513513513513513
43,0.511627906976744,0.372093023255814
150,0.666666666666667,0.613333333333333
186,0.473118279569892,0.451612903225806
80,0.4625,0.375
8,0.625,0.75
106,0.594339622641509,0.726415094339623
151,0.33112582781457,0.311258278145695
4,1.0,0.5
183,0.579234972677596,0.601092896174863
121,0.363636363636364,0.471074380165289
148,0.641891891891892,0.540540540540541
200,0.28,0.26
10,0.5,0.4
164,0.518292682926829,0.49390243902439
176,0.556818181818182,0.482954545454545
67,0.373134328358209,0.447761194029851
2,0.5,0.5
10,0.6,0.2
3,0.333333333333333,0.333333333333333
114,0.526315789473684,0.62280701754386
78,0.461538461538462,0.576923076923077
122,0.344262295081967,0.229508196721311
23,0.260869565217391,0.217391304347826
69,0.608695652173913,0.521739130434783
54,0.222222222222222,0.296296296296296
160,0.3375,0.45
91,0.252747252747253,0.296703296703297
90,0.611111111111111,0.533333333333333
160,0.56875,0.50625
108,0.62962962962963,0.611111111111111
109,0.55045871559633,0.605504587155963
70,0.657142857142857,0.542857142857143
63,0.523809523809524,0.333333333333333
4,0.5,0.0
1,0.0,0.0
183,0.633879781420765,0.737704918032787
108,0.592592592592593,0.601851851851852
52,0.480769230769231,0.442307692307692
98,0.602040816326531,0.571428571428571
13,0.846153846153846,0.384615384615385
88,0.556818181818182,0.545454545454545
180,0.522222222222222,0.477777777777778
35,0.742857142857143,0.685714285714286
187,0.422459893048128,0.27807486631016
45,0.533333333333333,0.6
